uri	name	issn	eissn	
	Eurasia Journal of Mathematics Science and Technology Education Journal of Mathematics Science and Technology Education	1305-8215		
	Eurasip Journal On Advances in Signal Processing	1687-6172	1687-6180	
	Eurasip Journal On Wireless Communications and Networking	1687-1499	1687-1499	
	Eurointervention	1774-024X	1969-6213	
	Europe-Asia Studies	0966-8136		
	European Accounting Review	0963-8180		
	European Archives of Oto-Rhino-Laryngology	0937-4477	1434-4726	
	European Biophysics Journal With Biophysics Letters	0175-7571		
	European Early Childhood Education Research Journal	1350-293X	1752-1807	
	European Eating Disorders Review	1072-4133	1099-0968	
	European Economic Review	0014-2921	1873-572X	
	European Financial Management	1354-7798	1468-036X	
	European Heart Journal	0195-668X	1522-9645	
	European Heart Journal Supplements	1520-765X	1554-2815	
	European History Quarterly	0265-6914	1461-7110	
	European Journal of Agronomy	1161-0301	1873-7331	
	European Journal of Anaesthesiology	0952-1941	1365-2346	
	European Journal of Applied Microbiology and Biotechnology	0171-1741		
	European Journal of Applied Physiology	1439-6319	1439-6327	
	European Journal of Archaeology	1461-9571		
	European Journal of Biochemistry	0014-2956	1432-1033	
	European Journal of Cancer	0959-8049	1879-0852	
	European Journal of Cardio-Thoracic Surgery	1010-7940	1873-734X	
	European Journal of Cardiovascular Nursing	1474-5151		
	European Journal of Cardiovascular Prevention and Rehabilitation	1741-8267	1741-8275	
	European Journal of Clinical Investigation	0014-2972	1365-2362	
	European Journal of Clinical Microbiology & Infectious Diseases	0934-9723	1435-4373	
	European Journal of Clinical Nutrition	0954-3007	1476-5640	
	European Journal of Clinical Pharmacology	0031-6970	1432-1041	
	European Journal of Combinatorics	0195-6698	1095-9971	
	European Journal of Control	0947-3580	1435-5671	
	European Journal of Dental Education	1396-5883	1600-0579	
	European Journal of Dermatology	1167-1122	1952-4013	
	European Journal of Drug Metabolism and Pharmacokinetics	0378-7966	2107-0180	
	European Journal of Endocrinology	0804-4643	1479-683X	
	European Journal of Epidemiology	0393-2990	1573-7284	
	European Journal of Gastroenterology and Hepatology	0954-691X	1473-5687	
	European Journal of Haematology	0902-4441	1600-0609	
	European Journal of Heart Failure	1388-9842	1879-0844	
	European Journal of Human Genetics	1018-4813	1476-5438	
	European Journal of Immunology	0014-2980	1521-4141	
	European Journal of Industrial Engineering	1751-5254		
	European Journal of Inflammation	1721-727X		
	European Journal of Information Systems	0960-085X	1476-9344	
	European Journal of Inorganic Chemistry	1434-1948	1099-0682	
	European Journal of Integrative Medicine	1876-3820		
	European Journal of Internal Medicine	0953-6205		
	European Journal of Mechanics A-Solids	0997-7538	1873-7285	
	European Journal of Mechanics B-Fluids	0997-7546	1873-7390	
	European Journal of Medical Genetics	1769-7212	1878-0849	
	European Journal of Medical Research	0949-2321	2047-783X	
	European Journal of Medicinal Chemistry	0223-5234	1768-3254	
	European Journal of Morphology	0924-3860	1744-4241	
	European Journal of Neurology	1351-5101	1468-1331	
	European Journal of Neuroscience	0953-816X	1460-9568	
	European Journal of Nuclear Medicine and Molecular Imaging	1619-7070	1619-7089	
	European Journal of Nutrition	1436-6207	1436-6215	
	European Journal of Obstetrics and Gynecology and Reproductive Biology	0301-2115		
	European Journal of Operational Research	0377-2217	1872-6860	
	European Journal of Ophthalmology	1120-6721	1724-6016	
	European Journal of Oral Sciences	0909-8836	1600-0722	
	European Journal of Organic Chemistry	1434-193X	1099-0690	
	European Journal of Pain	1090-3801	1532-2149	
	European Journal of Pediatrics	0340-6199	1432-1076	
	European Journal of Personality	0890-2070	1099-0984	
	European Journal of Pharmaceutical Sciences	0928-0987	1879-0720	
	European Journal of Pharmaceutics and Biopharmaceutics	0939-6411	1873-3441	
	European Journal of Pharmacology	0014-2999	1879-0712	
	European Journal of Physical and Rehabilitation Medicine	1973-9087	1827-1804	
	European Journal of Plant Pathology	0929-1873	1573-8469	
	European Journal of Public Health	1101-1262	1464-360X	
	European Journal of Radiology	0720-048X		
	European Journal of Social Psychology	0046-2772	1099-0992	
	European Journal of Social Theory	1368-4310		
	European Journal of Soil Biology	1164-5563	1778-3615	
	European Journal of Soil Science	1351-0754	1365-2389	
	European Journal of Surgical Oncology	0748-7983	1532-2157	
	European Journal of Trauma and Emergency Surgery	1863-9933	1863-9941	
	European Journal of Wildlife Research	1612-4642	1439-0574	
	European Journal of Work and Organizational Psychology	1359-432X	1464-0643	
	European Legacy-Toward New Paradigms	1084-8770		
	European Neurology	0014-3022	1421-9913	
	European Neuropsychopharmacology	0924-977X	1873-7862	
	European Physical Journal B	1434-6028		
	European Physical Journal C	1434-6044	1434-6052	
	European Physical Journal D	1434-6060	1434-6079	
	European Physical Journal E	1292-8941	1292-895X	
	European Physical Journal a	1434-6001	1434-601X	
	European Physical Journal-Special Topics	1951-6355	1951-6401	
	European Polymer Journal	0014-3057	1873-1945	
	European Psychiatry	0924-9338	1778-3585	
	European Psychologist	1016-9040	1878-531X	
	European Radiology	0938-7994	1432-1084	
	European Review of Agricultural Economics	0165-1587	1464-3618	
	European Spine Journal	0940-6719	1432-0932	
	European Sport Management Quarterly	1618-4742	1746-031X	
	European Urology	0302-2838	1421-993X	
	European Urology Supplements	1569-9056		
	Eurosurveillance	1560-7917		
	Evaluation & the Health Professions	0163-2787	1552-3918	
	Evaluation and Program Planning	0149-7189	1873-7870	
	Evidence-Based Complementary and Alternative Medicine	1741-427X	1741-4288	
	Evidence-Based Medicine	1356-5524	1473-6810	
	Evodevo	2041-9139		
	Evolution	0014-3820	1558-5646	
	Evolution & Development	1520-541X	1525-142X	
	Evolutionary Anthropology	1060-1538	1520-6505	
	Evolutionary Applications	1752-4563	1752-4571	
	Evolutionary Bioinformatics	1176-9343		
	Evolutionary Biology	0071-3260		
	Evolutionary Computation	1063-6560	1530-9304	
	Evolutionary Ecology	0269-7653	1573-8477	
	Evolutionary Ecology Research	1522-0613	1937-3791	
	Evolutionary Psychology	1474-7049		
	Exceptional Children	0014-4029	2163-5560	
	Exceptionality	0936-2835	1532-7035	
	Exercise and Sport Sciences Reviews	0091-6331	1538-3008	
	Experientia Supplementum	1023-294X		
	Experimental Aging Research	0361-073X	1096-4657	
	Experimental Agriculture	0014-4797	1469-4441	
	Experimental Biology and Medicine 	1535-3702	1535-3699	
	Experimental Brain Research	0014-4819		
	Experimental Cell Research	0014-4827		
	Experimental Dermatology	0906-6705		
	Experimental Eye Research	0014-4835	1096-0007	
	Experimental Gerontology	0531-5565	1873-6815	
	Experimental Hematology	0301-472X		
	Experimental Lung Research	0190-2148		
	Experimental Mathematics	1058-6458		
	Experimental Mechanics	0014-4851		
	Experimental Neurology	0014-4886	1090-2430	
	Experimental Parasitology	0014-4894		
	Experimental Physiology	0958-0670	1469-445X&nbsp;	
	Experimental Techniques	0732-8818		
	Experimental Thermal and Fluid Science	0894-1777		
	Experimental and Applied Acarology	0168-8162	1572-9702	
	Experimental and Clinical Cardiology	1205-6626		
	Experimental and Clinical Endocrinology and Diabetes	0947-7349		
	Experimental and Clinical Psychopharmacology	1064-1297	1936-2293	
	Experimental and Translational Stroke Medicine	1535-3702	1535-3699	
	Experiments in Fluids	0723-4864		
	Expert Opinion On Drug Delivery	1742-5247		
	Expert Opinion On Drug Discovery	1746-0441		
	Expert Opinion On Drug Metabolism and Toxicology	1742-5255	1744-7607	
	Expert Opinion On Drug Safety	1474-0338		
	Expert Opinion On Orphan Drugs	2167-8707		
	Expert Opinion On Therapeutic Patents	1354-3776		
	Expert Opinion On Therapeutic Targets	1472-8222		
	Expert Opinion on Biological Therapy	1471-2598	1744-7682	
	Expert Opinion on Investigational Drugs	1354-3784	1744-7658	
	Expert Opinion on Pharmacotherapy	1465-6566	1744-7666	
	Expert Review of Anti-infective Therapy	1744-8336		
	Expert Review of Anticancer Therapy	1473-7140	1744-8328	
	Expert Review of Cardiovascular Therapy	1744-8344		
	Expert Review of Clinical Immunology	1744-666X	1744-8409	
	Expert Review of Gastroenterology and Hepatology	1747-4124	1747-4132	
	Expert Review of Hematology	1747-4086		
	Expert Review of Molecular Diagnostics	1473-7159		
	Expert Review of Neurotherapeutics	1473-7175	1744-8360	
	Expert Review of Pharmacoeconomics & Outcomes Research	1473-7167		
	Expert Review of Proteomics	1478-9450	1744-8387	
	Expert Review of Vaccines	1476-0584		
	Expert Reviews in Molecular Medicine	1462-3994		
	Expert Systems With Applications	0957-4174		
	Explore-the Journal of Science and Healing	1550-8307		
	Expressions Maghrebines	1540-0085		
	Extrapolation	0014-5483		
	Extremophiles	1431-0651		
	Eye	0950-222X		
	Eye and Contact Lens Science and Clinical Practice	1542-2321		
	FEBS Letters	0014-5793		
	FEMS Microbiology Letters	0378-1097		
	Family Law Quarterly	0014-729X		
	Family Medicine	0742-3225		
	Family Process	0014-7370		
	Family Relations	0197-6664		
	Family and Community Health	0160-6379		
	Faraday Discussions	1359-6640	1364-5498	
	Faseb Journal	0892-6638	1530-6860	
	Fashion Theory-the Journal of Dress Body and Culture	1362-704X		
	Febs Journal	1742-464X		
	Feminist Criminology	1557-0851		
	Feminist Economics	1354-5701		
	Feminist Review	0141-7789	1466-4380	
	Fems Immunology and Medical Microbiology	0928-8244		
	Fems Microbiology Ecology	0168-6496		
	Fems Microbiology Reviews	0168-6445		
	Fems Yeast Research	1567-1356		
	Ferroelectrics	0015-0193		
	Fertility and Sterility	0015-0282	1556-5653	
	Fetal and Pediatric Pathology	1551-3815		
	Field Crops Research	0378-4290		
	Field Methods	1525-822X		
	Film Criticism	0163-5069		
	Film Quarterly	0015-1386		
	Financial Management	0046-3892		
	Finite Elements in Analysis and Design	0168-874X		
	Fire Ecology	1933-9747		
	Fire Safety Journal	0379-7112		
	Fish and Fisheries	1467-2960		
	Fish and Shellfish Immunology	1050-4648		
	Fisheries	0363-2415		
	Fisheries Management and Ecology	0969-997X		
	Fisheries Oceanography	1054-6006		
	Fisheries Research	0165-7836		
	Fishery Bulletin	0090-0656		
	Flavour and Fragrance Journal	0882-5734		
	Florida Department of Transportation 	0095-2060		
	Florida Entomologist	0015-4040		
	Florida Family Physician	0015-4067		
	Florida Field Naturalist	0738-999X		
	Florida Journal of International Law	0882-6420		
	Florida Scientist	0098-4590		
	Florida Tax Review	1066-3487		
	Focus On Autism and Other Developmental Disabilities	1088-3576		
	Focus On Exceptional Children	0015-511X		
	Folia Microbiologica	0015-5632		
	Folia Parasitologica	0015-5683		
	Folia Phoniatrica et Logopaedica	1421-9972		
	Food Chemistry	0308-8146		
	Food Control	0956-7135		
	Food Engineering Reviews	1866-7910		
	Food Hydrocolloids	0268-005X		
	Food Microbiology	0740-0020		
	Food Policy	0306-9192		
	Food Quality and Preference	0950-3293		
	Food Research International	0963-9969		
	Food Reviews International	8755-9129		
	Food Science and Technology International	1082-0132		
	Food Science and Technology Research	1344-6606		
	Food Security	1876-4517		
	Food Technology	0015-6639		
	Food and Bioprocess Technology	1935-5130		
	Food and Function	2042-6496		
	Food and Nutrition Bulletin	0379-5721		
	Food and Nutrition Research	1654-6628		
	Foodborne Pathogens and Disease	1535-3141		
	Foot & Ankle International	1071-1007		
	Foreign Language Annals	0015-718X		
	Foreign Literature Studies	1003-7519		
	Foreign Policy Analysis	1743-8586		
	Forensic Science International	0379-0738		
	Forensic Science International-Genetics	1872-4973		
	Forest Ecology and Management	0378-1127		
	Forest Pathology	1437-4781		
	Forest Policy and Economics	1389-9341	1872-7050	
	Forest Science	0015-749X		
	Forests	1999-4907		
	Forktail	0950-1746		
	Formal Methods in System Design	0925-9856		
	Formulary	1082-801X		
	Fortschritte Der Physik-Progress of Physics	0015-8208		
	Forum Mathematicum	0933-7741		
	Forum-a Journal of Applied Research in Contemporary Politics	1540-8884		
	Foundations of Physics	0015-9018		
	Free Radical Biology & Medicine	0891-5849		
	Free Radical Research	1071-5762	1029-2470	
	French Review	0016-111X		
	French Studies	0016-1128		
	Fresenius Environmental Bulletin	1018-4619		
	Fresenius' Journal of Analytical Chemistry	1618-2642		
	Freshwater Biology	0046-5070	1365-2427	
	Freshwater Science	2161-9549		
	Frontiers in Aging Neuroscience	1663-4365		
	Frontiers in Behavioral Neuroscience	1662-5153		
	Frontiers in Bioscience	1093-9946	1093-4715	
	Frontiers in Cellular Neuroscience	1662-5102		
	Frontiers in Computational Neuroscience	1662-5188		
	Frontiers in Ecology and the Environment	1540-9295		
	Frontiers in Human Neuroscience	1662-5161		
	Frontiers in Immunology	1664-3224		
	Frontiers in Microbiology	1664-302X		
	Frontiers in Neural Circuits	1662-5110		
	Frontiers in Neuroanatomy	1662-5129		
	Frontiers in Neuroendocrinology	0091-3022		
	Frontiers in Neuroscience	1662-453X		
	Frontiers in Pharmacology	1663-9812		
	Frontiers in Physiology	1664-042X		
	Frontiers in Plant Science	1664-462X		
	Frontiers in Psychology	1664-1078		
	Frontiers of Earth Science	2095-0195		
	Frontiers of Environmental Science and Engineering	2095-2201		
	Frontiers of Environmental Science and Engineering in China	1673-7415		
	Frontiers of Mathematics in China	1673-3452		
	Fuel	0016-2361		
	Fuel Cells	1615-6846		
	Fuel Processing Technology	0378-3820		
	Functional Analysis and Its Applications	0016-2663		
	Functional Ecology	0269-8463		
	Functional Materials Letters	1793-6047		
	Functional Plant Biology	1445-4408		
	Functional and Integrative Genomics	1438-793X		
	Fundamenta Mathematicae	0016-2736		
	Fundamental and Applied Limnology	1863-9135		
	Fundamental and Applied Nematology 	1164-5571		
	Fundamental and Clinical Pharmacology	0767-3981		
	Funding Sources for Aging Programs and Services	0730-7268		
	Fungal Biology	1878-6146		
	Fungal Biology Reviews	1749-4613		
	Fungal Diversity	1560-2745		
	Fungal Ecology	1754-5048		
	Fungal Genetics and Biology	1087-1845		
	Future Cardiology	1479-6678	1744-8298	
	Future Generation Computer Systems-the International Journal of Grid Computing and Escience	0167-739X		
	Future Medicinal Chemistry	1756-8919		
	Future Microbiology	1746-0913	1746-0921	
	Future Oncology	1479-6694		
	Future Virology	1746-0794	1746-0808	
	Futures	0016-3287		
	G3-Genes Genomes Genetics	2160-1836		
	Gaceta Medica de Mexico	0016-3813		
	Gait & Posture	0966-6362		
	Gastric Cancer	1436-3291		
	Gastroenterology	0016-5085	1528-0012	
	Gastroenterology Clinics of North America	0889-8553		
	Gastroenterology Nursing	1042-895X		
	Gastroenterology Research and Practice	1687-6121		
	Gastrointestinal Endoscopy	0016-5107	1097-6779	
	Gayana Botanica	0016-5301		
	Gender Medicine	1550-8579		
	Gender and Society	0891-2432		
	Gene	0378-1119	1879-0038	
	Gene Expression Patterns	1567-133X		
	Gene Therapy	0969-7128	1476-5462	
	Gene Therapy and Molecular Biology	1529-9120		
	General Hospital Psychiatry	0163-8343		
	General Relativity and Gravitation	Jan-01		
	General Thoracic and Cardiovascular Surgery	1863-6705		
	General and Comparative Endocrinology	0016-6480	1095-6840	
	Genes & Development	0890-9369		
	Genes Chromosomes and Cancer	1045-2257	1098-2264	
	Genes and Genomics	1976-9571		
	Genes and Immunity	1466-4879		
	"Genes	 Brain	 and Behavior"	1601-1848		
	Genesis	1526-954X		
	Genetic Epidemiology	0741-0395		
	Genetic Resources and Crop Evolution	0925-9864		
	Genetic Testing	1090-6576		
	Genetic Testing and Molecular Biomarkers	1945-0265		
	Genetic Vaccines and Therapy	1479-0556		
	Genetica	0016-6707		
	Genetics	1943-2631		
	Genetics	0016-6731		
	Genetics Research	0016-6723		
	Genetics and Molecular Biology	1415-4757		
	Genetics and Molecular Research	1676-5680		
	Genetics in Medicine	1098-3600		
	Genome	0831-2796		
	Genome Biology	1465-6906		
	Genome Biology	1474-7596	1474-760X	
	Genome Biology and Evolution	1759-6653		
	Genome Medicine	1756-994X		
	Genome Research	1088-9051		
	Genomics	0888-7543		
	Geoarchaeology-An International Journal	0883-6353		
	Geobiology	1472-4677		
	Geochemistry Geophysics Geosystems	1525-2027		
	Geochimica Et Cosmochimica Acta	0016-7037		
	Geoderma	0016-7061		
	Geofluids	1468-8115		
	Geoforum	0016-7185		
	Geographical Journal	0016-7398		
	Geoinformatica	1384-6175		
	Geologica Acta	1695-6133		
	Geological Journal	0072-1050		
	Geological Magazine	0016-7568		
	Geological Society of America Bulletin	0016-7606		
	Geology (Boudler)	0091-7613	1943-2682	
	Geometriae Dedicata	0046-5755		
	Geometry and Topology	1364-0380		
	Geomicrobiology Journal	0149-0451		
	Geomorphology	0169-555X		
	Geophysical Journal International	0956-540X		
	Geophysical Research Letters	0094-8276		
	Geophysics	0016-8033		
	Georgetown Law Journal	0016-8092		
	Georgia Review	0016-8386		
	Georisk	1749-9518	1749-9526	
	Geoscientific Model Development	1991-959X		
	Geospatial Health	1827-1987	1970-7096	
	Geosphere	1553-040X		
	Geotechnical Testing Journal	0149-6115		
	Geotechnique	0016-8505	1751-7656	
	Geotectonics	0016-8521		
	Geriatric Nursing	0197-4572		
	Geriatrics and Gerontology International	1444-1586		
	German History	0266-3554		
	German Quarterly	0016-8831		
	German Studies Review	0149-7952		
	Germanic Review	0016-8890		
